interval;bytes;bits_per_second
1;10851008;86793485,65502454
2;9330408;74566835,8661812
3;7294224;58299340,13742915
4;9394200;75080100,5843641
5;9141952;73255682,6882134
6;6495024;51730406,746453
7;7336392;58981384,51842078
8;7732040;61827140,70707568
9;8283632;66319392,78697045
10;9690416;77573361,4110158
11;7114608;56752167,45386305
12;7454256;59785964,47120547
13;7026912;56220637,51173793
14;8641000;69032318,00348443
15;8385368;66860633,363268815
16;8382424;67372335,82397906
16;1663864;56304350,96900835
